Timestamp,CPU (%),Memory VSZ (KB)
2025-01-13 15:43:00, 0.8,108036
2025-01-13 15:43:01, 0.8,108036
2025-01-13 15:43:02, 0.8,108036
2025-01-13 15:43:03, 0.8,108016
2025-01-13 15:43:04, 0.8,108016
2025-01-13 15:43:05, 0.8,108016
2025-01-13 15:43:06, 0.8,108016
2025-01-13 15:43:07, 0.8,108016
2025-01-13 15:43:08, 0.8,108016
2025-01-13 15:43:10, 0.8,108016
2025-01-13 15:43:11, 0.8,108016
2025-01-13 15:43:12, 0.9,108016
2025-01-13 15:43:13, 0.9,108016
2025-01-13 15:43:14, 0.9,108036
2025-01-13 15:43:15, 0.9,108036
2025-01-13 15:43:16, 0.9,108036
2025-01-13 15:43:17, 0.9,108036
2025-01-13 15:43:18, 0.9,108036
2025-01-13 15:43:19, 0.9,108036
2025-01-13 15:43:20, 0.9,108036
2025-01-13 15:43:21, 0.9,108036
2025-01-13 15:43:22, 0.8,108036
2025-01-13 15:43:23, 0.8,108036
2025-01-13 15:43:24, 0.8,108036
2025-01-13 15:43:25, 0.8,108016
2025-01-13 15:43:26, 0.8,108016
2025-01-13 15:43:27, 0.8,108016
2025-01-13 15:43:28, 0.8,108016
2025-01-13 15:43:29, 0.9,108016
2025-01-13 15:43:30, 0.8,108016
2025-01-13 15:43:31, 0.9,108016
2025-01-13 15:43:32, 0.9,108016
2025-01-13 15:43:33, 0.9,108016
2025-01-13 15:43:34, 0.9,108016
2025-01-13 15:43:35, 0.9,108016
2025-01-13 15:43:36, 0.9,108036
2025-01-13 15:43:37, 0.9,108036
2025-01-13 15:43:38, 0.9,108036
2025-01-13 15:43:39, 0.9,108036
2025-01-13 15:43:41, 0.9,108036
2025-01-13 15:43:42, 0.9,108036
2025-01-13 15:43:43, 0.9,108036
2025-01-13 15:43:44, 0.9,108036
2025-01-13 15:43:45, 0.8,108036
2025-01-13 15:43:46, 0.9,108036
2025-01-13 15:43:47, 0.8,108036
2025-01-13 15:43:48, 0.8,108016
2025-01-13 15:43:49, 0.8,108016
2025-01-13 15:43:50, 0.8,108016
2025-01-13 15:43:51, 0.8,108016
2025-01-13 15:43:52, 0.9,108016
2025-01-13 15:43:53, 0.9,108016
2025-01-13 15:43:54, 0.8,108016
2025-01-13 15:43:55, 0.9,108016
2025-01-13 15:43:56, 0.9,108016
2025-01-13 15:43:57, 0.9,108016
2025-01-13 15:43:58, 0.9,108036
2025-01-13 15:43:59, 0.9,108036
2025-01-13 15:44:00, 0.9,108036
2025-01-13 15:44:01, 0.9,108036
2025-01-13 15:44:02, 0.9,108036
2025-01-13 15:44:03, 0.9,108036
2025-01-13 15:44:05, 0.9,108036
2025-01-13 15:44:06, 0.9,108036
2025-01-13 15:44:07, 0.9,108036
2025-01-13 15:44:08, 0.9,108036
2025-01-13 15:44:09, 0.9,108036
2025-01-13 15:44:10, 0.9,108016
2025-01-13 15:44:11, 0.9,108016
2025-01-13 15:44:12, 0.9,108016
2025-01-13 15:44:13, 0.9,108016
2025-01-13 15:44:14, 0.9,108016
2025-01-13 15:44:15, 0.9,108016
2025-01-13 15:44:16, 0.9,108016
2025-01-13 15:44:17, 0.9,108016
2025-01-13 15:44:18, 0.9,108016
2025-01-13 15:44:19, 0.9,108016
2025-01-13 15:44:20, 1.1,108016
2025-01-13 15:44:21, 1.6,108016
2025-01-13 15:44:22, 2.0,108016
2025-01-13 15:44:23, 2.4,108016
2025-01-13 15:44:24, 2.9,108016
2025-01-13 15:44:25, 3.3,108016
2025-01-13 15:44:26, 3.7,108016
2025-01-13 15:44:27, 4.1,108016
2025-01-13 15:44:28, 4.5,108016
2025-01-13 15:44:29, 4.9,108016
2025-01-13 15:44:30, 5.4,108016
2025-01-13 15:44:31, 5.8,108016
2025-01-13 15:44:32, 6.1,108016
2025-01-13 15:44:34, 6.5,108016
2025-01-13 15:44:35, 6.9,108016
2025-01-13 15:44:36, 7.3,108016
2025-01-13 15:44:37, 7.7,108016
2025-01-13 15:44:38, 8.1,108016
2025-01-13 15:44:39, 8.5,108016
